FID,Updated,PCR,Antigen,TotalCases,TotalDeaths,DataNotes,RecordStat,Lab
743,2022/03/25 21:59:59+00,210580,25378,235958,1459,,Past,3/25/2022
744,2022/03/26 21:59:59+00,,,,,Weekend no data entered,Past,3/26/2022
745,2022/03/27 21:59:59+00,,,,,Weekend no data entered,Past,3/27/2022
746,2022/03/28 21:59:59+00,210695,25584,236279,1461,,Past,3/28/2022
748,2022/03/29 21:59:59+00,210979,25713,236692,1467,,Past,3/29/2022
749,2022/03/30 21:59:59+00,211047,25907,236954,1478,,Past,3/30/2022
750,2022/03/31 21:59:59+00,211129,26196,237325,1479,,Past,3/31/2022
751,2022/04/01 21:59:59+00,211252,26440,237692,1483,,Past,4/1/2022
752,2022/04/02 21:59:59+00,,,,,Weekend no data entered,Past,4/2/2022
753,2022/04/03 21:59:59+00,,,,,Weekend no data entered,Past,4/3/2022
754,2022/04/04 21:59:59+00,211448,26724,238172,1490,,Past,4/4/2022
755,2022/04/05 21:59:59+00,211729,26949,238678,1492,,Past,4/5/2022
756,2022/04/06 21:59:59+00,211760,27267,239027,1497,,Past,4/6/2022
757,2022/04/07 21:59:59+00,211867,27449,239316,1499,,Past,4/7/2022
758,2022/04/08 21:59:59+00,211995,27718,239713,1499,,Past,4/8/2022
759,2022/04/09 21:59:59+00,,,,,Weekend no data entered,Past,4/9/2022
760,2022/04/10 21:59:59+00,,,,,Weekend no data entered,Past,4/10/2022
761,2022/04/11 21:59:59+00,212236,27972,240208,1499,,Past,4/11/2022
762,2022/04/12 21:59:59+00,212503,28187,240690,1501,,Past,4/12/2022
763,2022/04/13 21:59:59+00,212621,28548,241169,1501,,Past,4/13/2022
764,2022/04/14 21:59:59+00,212781,28821,241602,1501,,Past,4/14/2022
765,2022/04/15 21:59:59+00,212984,29287,242271,1504,,Past,4/15/2022
766,2022/04/16 21:59:59+00,,,,,Weekend no data entered,Past,4/16/2022
767,2022/04/17 21:59:59+00,,,,,Weekend no data entered,Past,4/17/2022
768,2022/04/18 21:59:59+00,213164,29572,242736,1519,,Past,4/18/2022
769,2022/04/19 21:59:59+00,213457,29847,243304,1520,,Past,4/19/2022
770,2022/04/20 21:59:59+00,213697,30145,243842,1521,,Past,4/20/2022
771,2022/04/21 21:59:59+00,213817,30438,244255,1523,,Past,4/21/2022
772,2022/04/22 21:59:59+00,214029,30796,244825,1525,,Past,4/22/2022
773,2022/04/23 21:59:59+00,,,,,Weekend no data entered,Past,4/23/2022
774,2022/04/24 21:59:59+00,,,,,Weekend no data entered,Past,4/24/2022
775,2022/04/25 21:59:59+00,214217,31099,245316,1526,,Past,4/25/2022
776,2022/04/26 21:59:59+00,214534,31270,245804,1527,,Past,4/26/2022
777,2022/04/27 21:59:59+00,214702,31540,246242,1533,,Past,4/27/2022
778,2022/04/28 21:59:59+00,214970,31795,246765,1533,,Past,4/28/2022
779,2022/04/29 21:59:59+00,215255,31989,247244,1533,,Past,4/29/2022
780,2022/04/30 21:59:59+00,,,,,Weekend no data entered,Past,4/30/2022
781,2022/05/01 21:59:59+00,,,,,Weekend no data entered,Past,5/1/2022
782,2022/05/02 21:59:59+00,215436,32254,247690,1534,,Past,5/2/2022
783,2022/05/03 21:59:59+00,215922,32445,248367,1534,,Past,5/3/2022
784,2022/05/04 21:59:59+00,216172,32656,248828,1534,,Past,5/4/2022
785,2022/05/05 21:59:59+00,216523,32756,249279,1534,,Past,5/5/2022
786,2022/05/06 21:59:59+00,216891,32821,249712,1534,,Past,5/6/2022
787,2022/05/07 21:59:59+00,,,,,Weekend no data entered,Past,5/7/2022
788,2022/05/08 21:59:59+00,,,,,Weekend no data entered,Past,5/8/2022
789,2022/05/09 21:59:59+00,217082,32870,249952,1534,,Past,5/9/2022
790,2022/05/10 21:59:59+00,217605,32945,250550,1534,,Past,5/10/2022
791,2022/05/11 21:59:59+00,217901,33031,250932,1534,,Past,5/11/2022
792,2022/05/12 21:59:59+00,218298,33068,251366,1535,,Past,5/12/2022
793,2022/05/13 21:59:59+00,218610,33127,251737,1535,,Past,5/13/2022
794,2022/05/14 21:59:59+00,,,,,Weekend no data entered,Past,5/14/2022
795,2022/05/15 21:59:59+00,,,,,Weekend no data entered,Past,5/15/2022
796,2022/05/16 21:59:59+00,218956,33185,252141,1536,,Past,5/16/2022
797,2022/05/17 21:59:59+00,219400,33218,252618,1536,,Past,5/17/2022
798,2022/05/18 21:59:59+00,219673,33261,252934,1541,,Past,5/18/2022
799,2022/05/19 21:59:59+00,220044,33363,253407,1542,,Past,5/19/2022
800,2022/05/20 21:59:59+00,220451,33442,253893,1542,,Past,5/20/2022
801,2022/05/21 21:59:59+00,,,,,Weekend no data entered,Past,5/21/2022
802,2022/05/22 21:59:59+00,,,,,Weekend no data entered,Past,5/22/2022
803,2022/05/23 21:59:59+00,220780,33516,254296,1543,,Past,5/23/2022
804,2022/05/24 21:59:59+00,221793,33713,255506,1544,,Past,5/24/2022
805,2022/05/25 21:59:59+00,222209,33847,256056,1545,,Past,5/25/2022
806,2022/05/26 21:59:59+00,222640,33900,256540,1546,,Past,5/26/2002
807,2022/05/27 21:59:59+00,223017,33942,256959,1546,,Past,5/27/2022
808,2022/05/28 21:59:59+00,,,,,Weekend no data entered,Past,5/28/2022
809,2022/05/29 21:59:59+00,,,,,Weekend no data entered,Past,5/29/2022
810,2022/05/30 21:59:59+00,,,,,Holiday no data entered,Past,5/30/2022
811,2022/05/31 21:59:59+00,223385,34031,257416,1548,,Past,5/31/2022
812,2022/06/01 21:59:59+00,224311,34236,258547,1548,,Past,6/1/2022
813,2022/06/02 21:59:59+00,224878,34341,259219,1548,,Past,6/2/2022
814,2022/06/03 21:59:59+00,225309,34465,259774,1549,,Past,6/3/2022
815,2022/06/04 21:59:59+00,,,,,Weekend no data entered,Past,6/4/2022
816,2022/06/05 21:59:59+00,,,,,Weekend no data entered,Past,6/5/2022
817,2022/06/06 21:59:59+00,225780,34517,260297,1549,,Past,6/6/2022
818,2022/06/07 21:59:59+00,226488,34695,261183,1550,,Past,6/7/2022
819,2022/06/08 21:59:59+00,226940,34838,261778,1552,,Past,6/8/2022
820,2022/06/09 21:59:59+00,227410,34895,262305,1553,,Past,6/9/2022
821,2022/06/10 21:59:59+00,227898,34973,262871,1553,,Past,6/10/2022
822,2022/06/11 21:59:59+00,,,,,Weekend no data entered,Past,6/11/2022
823,2022/06/12 21:59:59+00,,,,,Weekend no data entered,Past,6/12/2022
824,2022/06/13 21:59:59+00,228195,35014,263209,1553,,Past,6/13/2022
825,2022/06/14 21:59:59+00,229123,35198,264321,1553,,Past,6/14/2022
826,2022/06/15 21:59:59+00,229537,35299,264836,1553,,Past,6/15/2022
827,2022/06/16 21:59:59+00,229996,35372,265368,1553,,Past,6/16/2022
828,2022/06/17 21:59:59+00,230524,35442,265966,1553,,Past,6/17/2022
829,2022/06/18 21:59:59+00,,,,,Weekend no data entered,Past,6/18/2022
830,2022/06/19 21:59:59+00,,,,,Weekend no data entered,Past,6/19/2022
831,2022/06/20 21:59:59+00,,,,,Holiday no data entry,Past,6/20/2022
832,2022/06/21 21:59:59+00,231078,35501,266579,1555,,Past,6/21/2022
833,2022/06/22 21:59:59+00,232310,35823,268133,1555,,Past,6/22/2022
834,2022/06/23 21:59:59+00,232868,35899,268767,1556,,Past,6/23/2022
835,2022/06/24 21:59:59+00,233519,35971,269490,1556,,Past,6/24/2022
836,2022/06/25 21:59:59+00,,,,,Weekend no data entered,Past,6/25/2022
837,2022/06/26 21:59:59+00,,,,,Weekend no data entered,Past,6/26/2022
838,2022/06/27 21:59:59+00,234013,36190,270203,1558,,Past,6/27/2022
839,2022/06/28 21:59:59+00,234961,36331,271292,1558,,Past,6/28/2022
840,2022/06/29 21:59:59+00,235373,36472,271845,1558,,Past,6/29/2022
841,2022/06/30 21:59:59+00,235682,36629,272311,1558,,Past,6/30/2022
842,2022/07/01 21:59:59+00,236159,36918,273077,1559,,Past,7/1/2022
843,2022/07/02 21:59:59+00,,,,,Weekend no data entered,Past,7/2/2022
844,2022/07/03 21:59:59+00,,,,,Weekend no data entered,Past,7/3/2022
845,2022/07/04 21:59:59+00,,,,,Holiday no data entry,Past,7/4/2022
846,2022/07/05 21:59:59+00,236936,37183,274119,1560,,Past,7/5/2022
847,2022/07/06 21:59:59+00,238023,37576,275599,1561,,Past,7/6/2022
848,2022/07/07 21:59:59+00,238681,37999,276680,1561,,Past,7/7/2022
849,2022/07/08 21:59:59+00,239151,38127,277278,1563,,Past,7/8/2022
850,2022/07/09 21:59:59+00,,,,,Weekend no data entered,Past,7/9/2022
851,2022/07/10 21:59:59+00,,,,,Weekend no data entered,Past,7/10/2022
852,2022/07/11 21:59:59+00,239754,38411,278165,1563,,Past,7/11/2022
853,2022/07/12 21:59:59+00,240880,38774,279654,1565,,Past,7/12/2022
854,2022/07/13 21:59:59+00,241450,38913,280363,1565,,Past,7/13/2022
855,2022/07/14 21:59:59+00,241909,39100,281009,1565,,Past,7/14/2022
856,2022/07/15 21:59:59+00,242401,39393,281794,1565,,Past,7/15/2022
857,2022/07/16 21:59:59+00,,,,,Weekend no data entered,Past,7/16/2022
858,2022/07/17 21:59:59+00,,,,,Weekend no data entered,Past,7/17/2022
859,2022/07/18 21:59:59+00,242863,39598,282461,1566,,Past,7/18/2022
860,2022/07/19 21:59:59+00,244011,39844,283855,1566,,Past,7/19/2022
861,2022/07/20 21:59:59+00,244424,40040,284464,1566,,Past,7/20/2022
862,2022/07/21 21:59:59+00,244919,40126,285045,1566,,Active,
